content,score,date,option,satis_list
탈모 관리가 된다고 해서 주문했습니다 근데 일반 샴푸여도 계속 사용 할 것 같아요! 빠른 배송 받고 바로 사용 해봤는데 오... 일단 향이 좋아요 그다음 거품이 엄청 잘나고   샴푸 해 놓고 타올로 몸 닦는 동안 머리에 쿨링감이 있어요 헹굴땐 미끌거리지않고 트린트먼트를 안해도 머릿결이 부드러워요 전 다쓰면 재주문하려고요 좋아요! 주변에 추천도 했습니다! 구매 고민되시는분은 비싼돈 아니니 사서 써보세요 마음에 드실걸요^^,5,23.08.22.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
라이브방송때 탈모샴푸 특유의 한방냄새가 없다고해서 구매했어요.사실 저와 남편은 숱부자이지만 일반샴푸는 원래 않했던터라 기능적이고 향도좋은 살림백서 탈모샴푸로 선택했어요.향이 고급지고 진한느낌이 있어서 개인취향으로는 좋아요.여름철 땀냄새 정수리냄새를 깨끗하고 상쾌하게 씻겨줄것같은 기분좋은향이네요.1플러스1이라  득템한기분마저 듭니다.배송도 담날바로와서 급하게 사용하실분들도 빨리받아볼수 있을것같아요!성분자체도 자연식물성이 많이 포함되어서 믿음이 갑니다♡잘사용할께요♡,5,23.08.09.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
탈모방지샴푸라 혹여나 뻣뻣할까 걱정했는데 괜찮아요. 무엇보다 머리에 볼륨이 살아나서 무척 만족합니다. 두피가 예민해서 샴푸가 맞지 않으면 가려움운데 일단은 괜찮아요. 거품도 적당하고 열심히 써 봐야겠네요.,4,23.09.08.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_지성볼륨 부족탈모가는 모발', '세정력_보통이에요', '두피자극_순해요', '탈모케어_잘 모르겠어요']"
"한달사용기살림백서 상품들 잘 사용하고있어요!  가성비템으로 아주 좋아요 대용량인데가 탈모효과가 눈에 띄게 달라지는건 아니지만 두피에 자극없이 사용할수 있어요! 향기도 자극적이지않고 은은해서 샤워할때 마다 기분이 좋아요. 샴푸특성상 갈색깔 색상의 액체이고 너무 흘러내리지 않는 점성이에요.  펌핑한번으로도 거품이 충분히 나오더라구요.  머리가 어깨아래로 내려가는 긴 머리인데 한번 펌핑으로도 적당히 거품내서 사용가능해요. 머리가 짧으시다면 양조절 필요할거 같아요.  특정삼푸사용하면 가려움증이 생기는데, 살림백서 샴푸는 가려움증상 없었어요!",5,23.07.16.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['세정력_보통이에요', '두피자극_순해요', '탈모케어_잘 모르겠어요']"
기존에 쓰던 탈모샴푸가 제 두피에는 맞지가 않아서 사용하고나면 두피가 가렵고 머리카락이 많이 빠져서 사용을 중단하고 저자극 제품으로 찾던 중 살림백서 샴푸 후기가 너무 좋아서 구매하였습니다. 향도 너무 좋고 거품도 풍성하여 사용감도 좋습니다. 확실히 전에 사용했던 샴푸보다 머리가 덜 빠지네요~ 조금더 사용해보도록 하겠습니다,5,23.09.01.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
향이 너무너무너무 좋네요!! 👍👍👍 말리고나서도 잔향이 계속 나네용^_^!! 거품도 잘나고 트리트먼트 꼭 해야되는데 요샴퓨는 샴푸만해도 머리결이 부드러워서 트린트먼트 안써도 괜찮네용ㅎㅎ!!  라방할때 아주 좋은가격에 대용량을 2개나 구매할수잇어서 최고!! 👍👍👍,5,23.09.06.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
힌참 써보고 나서 솔직한 후기 알려드리고자  이제서야 리뷰남기네요  30대에 들어서니까 모발이 앏아지고 많이 빠지는게 스트레스였어요 현재 탈모에 좋다는 비오틴을 알약으로도 섭취중인데 이 샴푸 쓰고나서 모발이 풍성해진다기보다는 확실히 배수구에 머리카락 빠지는 수가 눈에 띄게 줄었어요  참고로 머리카락 많이 빠지는 분들은 샴푸전에 빗질을 하고 안하고의 차이가 정말 크게 차이나니까 꼭 빗질 후에 샴푸하시기를 추천드립니다  성분 자체가 순하고 피부던 부피던 약산성만을 고집하는 1인으로써 성분을 좀 따지는 편입니다 탈모에 맥주 효모와 비오틴은 효과적이라는거는 익히들 들어보셨을거라 바로 구매넣었던걸로 기억하네요  그리고 전체적으로 몸에 열이 엄청 많은 편인데 성분에 멘톨도 들어가있더라구요 그래서 그런지 확실히 열감이 떨어지는? 막 오르는것같진 않고 시원하더라구요 중단발 기장으로 1회만 펌핑중인데 거품도 모발에 닿았을때는 어느정도 풍성하게 잘나는편이에여  1+1으로 구성도 괜찮고 가격도 착해서 앞으로도 재주문할 의사 있습니다 많이파시고 다들 도움되시길 바랍니다,5,23.07.09.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_건성가는 모발', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
요즘들어 머리가 너무 많이빠져 탈모샴푸 눈여겨봤는데 평도 좋고 1+1이라 구매해봤어요 우선 배송이 너무 빨랐고 용량도 너무 좋고 향도 좋아요! 거품도 엄청 잘나고 일부러 트리트먼트 안했는데 머릿결도 부들부들:) 씻고나면 약간의 쿨링감도 느껴지는것같아요 한달 열씸히 써보고 또 후기남기겠습니다:),5,23.08.30.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
머리가없어서 샴푸를 사봐서 쓰고있어요. 아직 좋은건잘모르겠눈데 쿨링효과로시원하긴한데 샴프하고나면 뻑뻑해서 린스를 쫌 해줘야해요.탈모에 좋은것도 챙겨먹고있어서 만약 좋아져도 샴푸의효과인지 약의효과인지 모르겟지만 암튼 뭐가됫든 결과만좋은되니 좋다고하는건다하고있네요,4,23.09.03.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_건성탈모', '세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
"악지성피부에, 악지성두피, 가는 모발에;; 최악의 요건을 다 갖추고있어요.. 그동안 한방 샴푸위주로쓰다가 이번에 바꿔봤는데.. 일단 깔끔한 느낌이 너무 좋습니다.  탁하지않고 먼가 두피케어를 받은듯은 느낌이 드네요.. 아침에 머리감으면 저녁무렵에 원래 개기름이 좔좔 흘러넘칠정도로 지성이었거든요. 근데 이 샴푸때문인지.. 써본지 얼마되지않아서 확답은 못드리겠으나 유분기가 줄었어요. 밤까지  개기름이 덜하네요 ㅋ이정도면 정말 만족입니다. 한달 꾸준히 써본뒤에 효과를 다시 말씀드릴께요. 느낌은 참 좋습니다 .ㅋ",5,23.08.10.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_지성피지 과다가는 모발탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
요즘들어 부쩍 더 시도때도 없이 이곳저곳 할것없이 암만치우고 치워도 계속계속 빠져나와 널부러져있는 머리카락들에 심각함을 느끼던중에 살림백서 라이브알림으로 따악 요 탈모샴푸가...ㅠㅠ 살림백서 착한성분이야 믿고있으니 의심할바 없었구 어쩜 이렇게 딱 필요하고 간절한 순간에 눈에 띄어줬는지..엄청 고마워하면서 얼른 오기만을 고대하다 만났는데 파란색 통부터가 그냥 아주 청량감뿜뿜. 세치도 많이 늘어 자주 간지러운편인데 보는것만으로도 시원해지는것같은 첫인상을 받았구 향을 맡아보니 눈이 번쩍.너무상큼하면서도 은은한느낌에 저는 개인적으로 너무 마음에 들었어요^^  샴푸 제형은 무척 묽고 맑아요 까딱하면 그냥 아래로 흘러내려지니 짤때 손을 잘 오무려서 받아야 하는데 머리감다보면 거품도 잘나고 음..뭐랄까 굉장히 가볍고 깨끗한 느낌이예요 오빠 머리 감아보게 시켰는데 써보더니 향도 좋고 개운하니 좋다해서 갠히 더 기분좋고 뿌듯~ 머리카락이 좋아하는거같네요 꾸준히 잘 사용해보겠습니다~,5,23.09.02.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_복합성윤기 부족가려움탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
솔직히 사고 몇번 안써봤지만 구매할때 엄청고민하고 많이 알아보고 구매해서  고민하시는 분들을위해? 써봅니다.. 머리도 길고 요즘은 미리 탈모도 예방차원으로 하면 좋다고 해서 알아보게 됬는데 성분적으로도 훨씩 착하고 좋아서 다른 탈모제품을 써보다가 다들 비슷비슷한 성분을 가지고 있는데 비싸기도 하고 그러다가 찾게 되서 일반 샴푸보다는 좋겠지하고 별로 기대 안하고 샀습니다..ㅎㅎ 일단 케이스까지 깔끔 기한도 길어서 만족 그리고 기본 맥주 효모가 들어간 샴푸니까 색상도 약간 노란색? 이어야 뭔가 들어갔군하고 마음이 좋더라고요 ㅋㅋㅋ 다른 탈모 샴푸는 향이 그냥 그렇고 오래 향이 남지 않는데 이건 향이 너무 좋아서 잔향까지 만족했습니다 찐하지 않고 기분좋은 향이랄까ㅎㅎ  세정력도 손에 미끄럽게 남지 않고 잘 닦이고 거품도 잘납니다 ㅎㅎ 솔직히 오래써보진 않았지만 몇년 타 탈모샴푸  써본결과 가성비 향 성분 세정 기한 다 만족스러운 제품찾아서 너무 행복합니다 ㅎㅎ 신랑도 이거로 쓴다고 하네요 ㅎㅎ 가격이 꼭 유지되서 다음에 또 사고싶네요 ㅎㅎ,5,23.08.01.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_보통이에요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
한달사용기악지성이에요..아침에 머리감아도 오후되면 앞머리가 뭉쳐요 ㅡㅡ; 애들도 저닮아서 하루 머리안감으면 세상 꼬질꼬질해요; 그래서 여기 샴푸로 바꿔봤는데..일단 제일좋은건 가성비에요. 가격이 나쁘지않아서 구매하기가 쉬웠어요. 그리고 자극적이지않은 냄새. 그리고 샴푸후 지속감? 이것도 만족이에요. 반나절도 안가던 머릿결이 24시간 이상 가는거같아요.그전에는  하루 안감으면 완전 거지꼴이였다면 지금은 그냥 무난한정도?ㅋ  샴푸하나가 이렇게 차이가 날줄은 몰랐네요.  사춘기 오신 아드님 정수리에 냄새도 안나요 ㅋㅋ 그전에 영감같은 냄새가 났었거든요;  본인도 만족하는지 씻고나면 저한테와서 머리를 들이내미네요 ㅡㅋ; 한달써보고 만족해서 담에도 구매할예정입니다.,5,23.09.08.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_지성피지 과다가는 모발탈모', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
"와... 배송에 놀랬습니다.  목요일 저녁 퇴근 후 주문했는데 .. 다음날 아침에 배송이 시작되더라고요 ... 토요일이나 받을수있겠지...(회사로 배송해서 월요일날 받겠지 ... 했죠 ) 그런데 금요일 점심 2시 도착 해버렸네요 .. 배송 짱짱 빠름  포장상태 짱짱 함... 겉박스 속박스 포장으로 신뢰감 상승...  월요일 아침 첫 사용 했습니다.  기존 사용했던 샴프와 비교했을때... (라보에이치, TS, 메디올, 바이오가 사용) 내용물의 점성은 많이 묽음 향은 불편한감 없었음 거품량은 메디올이 제일 많이 생기는것 같음 / 부족하지 않았음 얼굴쪽에 묻어 조금 따끔한 느낌 받았음  한달 사용하고 후기 남겨 볼게요 ...  좋은상품이라 믿고 탈모 이겨내볼께요",5,23.09.04.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_복합성볼륨 부족윤기 부족가는 모발', '세정력_보통이에요', '두피자극_보통이에요', '탈모케어_잘 모르겠어요']"
택배도 포장 꼼꼼하고 무엇보다 향도 괜찮고  거품도 많이 나오더라고요. 리뷰보고 처음 여기서 구매한건데 아주 만족해요! 이 가격에 1+1이라는 것도 용량도 크고 탈모샴푸 이것저것 써봤는데 여기가 젤 순한 거 같아요. 재구매시 그땐 효과봤던 점들로 리뷰 올릴게요!,5,23.09.05.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
"BEST한 3주 이상 사용하면서 정말 괜찮은 것 같아 후기 남깁니다. 건성에 얇은 모발에 두피도 예민한편이라 성분을 많이 따지는 편인데 착한 성분과 탈모예방 효과가 맘에 들었고, 디자인도 깔끔하고 대용량에 원쁠원이니 안살 이유가 없었어요. 쓰면서 가장 좋았던 건 아무래도 처음보다 샴푸하면서 머리 빠지는 양이 많이 줄었다는 거! 원래는 하수구에 오백원 동전만큼은 됐는데,, 지금은 진짜 몇가닥이 되었어요👀 샴푸할 때 거품도 잘 나서 두피 마시지하듯 샴푸해주면 넘 개운해요ㅠ  향은 뭔가 달달함 몇스푼 넣은 시원함! 성별 호불호없이 좋아할 거같은 향이에요. 그리고 트리트먼트를 가끔 잊어도 머리카락이 뻣뻣하지않아 좋더라고요. 몇몇 리뷰들처럼 저도 펌프가 처음엔 잘 안나와서 불량인가 했는데 사진에 저부분을 딱 잡고 돌리니 뿅하거 나오더라고요! 저기만 잡고 돌리면 되는데 모르고 재배송받으시는 분들 있으실까 남겨요ㅠ! 여튼 저는 다쓰면 재구매각♥",5,23.06.30.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_건성손상모가는 모발윤기 부족', '두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
"BEST이벤트 기간 중 좋은 기회다 싶어 신랑 쓰라고 샀는데 사용후기를 안 들려줘서 본인이 직접 사용해 봄.  린스 사용을 싫어하는 본인은 현재 로*바오밥 21차 약산성 샴푸를 사용중임.  본격적으로 액티브 b7 탈모샴푸에 대해 논해보겠음. 보통 탈모샴푸 하면 떠오르는 이미지가 한방 향 아니면 빈약한 거품, 헹굼 후 뻣뻣함 정도인데. 사용해보니 전혀 그런 점이 안보임.  일단 향이 너무 좋음. 잠시잠깐 들어와 사진 촬영해 준 딸도 인정함. 한방 냄새도 아니고 머리를 화~하게 하는 박하같은 향도 아니고 뭔가 익숙하면서 달콤하고 싱그러운 향 남.  그리고 제형이 묽은 편임. 묽은데도 거품은 풍성하게 잘 남. 현재 본인이 쓰는 샴푸는 펌핑을 1.5번 정도 함(본인 머리숱 왕 많고 모발 굵음). 액티브 b7도 탈모샴푸이니 빈약한 거품을 예상하고 펌핑 가득 2회 함. 그런데 웬걸….거품이 타 탈모샴푸에 비해 심하게 잘 남. 머리숱 많은 본인도 가볍게 1.5회 펌핑질로도 충분할거 같음.  헹굴때는 샴푸인지라 뽀득뽀득함이 느껴짐. 린스를 꼭 해야할것같은 느낌인데…. 막상 세정이 끝난 후엔 뻣뻣함이 없음.  머리 말리다가 급 후기 쓰는 중인데 싱크러운 향과 부드럽게 휘날리는 머리칼만 남음. 본인은 탈모는 없지만 앞으로도 계속 사용할 의향이 다분함. 용량도 푸짐하고 행사때 사면 가격도 착한 편이라 행사때마다 쟁일 것 같은 느낌이 듦.",5,23.07.10.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_복합성새치', '두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
구매 후 처음 사용하고 후기 남깁니다. 기존에 탈모예방 샴푸 쓰던거랑 비교했을 때 첫 인상은 묽다입니다. 펌핑시 제형이 묽어서 뭐지? 했네요  거품은 잘 나는데 기존 타사 제품은 두피가 시원해지는게 있는데 이 제품은 그런건 없었어요 향은 무난하고 두피나 머리의 유분감 조절은 보통입니다. 1+1구입이라 계속 사용해서 탈모 예방효과가 있으면 좋겠네요,5,23.09.06.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_복합성윤기 부족가는 모발민감성 두피', '세정력_보통이에요', '두피자극_순해요', '탈모케어_잘 모르겠어요']"
사실 사용전이라서.. 그런데 살림백서 샴푸 예전에도 써봤고 여기제품들 좋은거 아니까요 이번에도 믿고 구매햇어여. 한달후 사용후기 남겨볼게요. 탈모걱정하는 남편 주려고 샀어요. 비오틴과 맥주효모가 탈모인들에게는 익숙한 재료들이라 바로 구매햇습니다! 배송도 금방오고 상품도 예쁜 살림백서박스에 안전하게 잘도착햇어요~,5,23.09.02.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['두피자극_순해요', '탈모케어_아주 만족해요', '세정력_아주 만족해요']"
갑자기 머리카락이 많이 빠지는 느낌이어서 주문했네요 할인할때 고민하다가 할인끝나고 사서 너무 아쉽지만  몇일동안 사용해본 결과 만족스럽습니다. 묽은 느낌이라서 거품이 잘날까 했지만 기존에 헤드엔 숄더보다 거품이 풍성하네요 ㅎㅎ 원플원이라 더 맘에 듭니다. 쭉 써보고 또 재구매 생각있네요 ㅎㅎ,5,23.09.05.,옵션선택): 1)1+1 살림백서 액티브B7 탈모샴푸 1L,"['헤어_복합성비듬민감성 두피새치', '두피자극_순해요', '탈모케어_잘 모르겠어요', '세정력_아주 만족해요']"
